season,playoff,play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,game_date,quarter_seconds_remaining,game_seconds_remaining,game_half,sp,qtr,down,time,yrdln,ydstogo,desc,play_type,field_goal_result,kick_distance,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam_score,defteam_score,score_differential,opp_fg_prob,field_goal_attempt,kicker_player_name,kicker_player_id,type,iced,overtime
2010,reg,4812,2010111410,SF,STL,SF,home,STL,STL,2010-11-14,583.0,583.0,Overtime,1,5,1.0,09:43,STL 11,10,"(9:43) J.Nedney 29 yard field goal is GOOD, Center-B.Jennings, Holder-A.Lee.",field_goal,made,29.0,1,2,0.0,,1.0,2.0,20.0,20.0,0.0,0.007959114219141507,1.0,J.Nedney,00-0011970,no_timeout,non_iced,1
2010,reg,4581,2010112501,DAL,NO,DAL,home,NO,NO,2010-11-25,31.0,31.0,Half2,0,4,4.0,00:31,NO 41,10,"(:31) (Field Goal formation) D.Buehler 59 yard field goal is No Good, Wide Left, Center-L.Ladouceur, Holder-M.McBriar.",field_goal,missed,59.0,2,1,0.0,,2.0,1.0,27.0,30.0,-3.0,0.12764318299983424,1.0,D.Buehler,00-0027119,no_timeout,non_iced,0
2010,reg,4178,2010112807,CLE,CAR,CAR,away,CLE,CLE,2010-11-28,4.0,4.0,Half2,0,4,1.0,00:04,CLE 24,10,"(:04) J.Kasay 42 yard field goal is No Good, Hit Left Upright, Center-J.Jansen, Holder-J.Baker.",field_goal,missed,42.0,1,0,0.0,,0.0,1.0,22.0,24.0,-2.0,0.0,1.0,J.Kasay,00-0009028,no_timeout,non_iced,0
2010,reg,4551,2010112801,BUF,PIT,BUF,home,PIT,PIT,2010-11-28,7.0,7.0,Half2,1,4,4.0,00:07,PIT 31,1,"(:07) R.Lindell 49 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Moorman.",field_goal,made,49.0,0,2,0.0,,0.0,2.0,13.0,16.0,-3.0,0.045818894386014525,1.0,R.Lindell,00-0019310,iced,iced,0
2010,reg,5367,2010112801,BUF,PIT,PIT,away,BUF,BUF,2010-11-28,139.0,139.0,Overtime,1,5,3.0,02:19,BUF 22,10,"(2:19) S.Suisham 41 yard field goal is GOOD, Center-G.Warren, Holder-D.Sepulveda.",field_goal,made,41.0,1,1,0.0,,1.0,1.0,16.0,16.0,0.0,0.02223581559686814,1.0,S.Suisham,00-0023001,no_timeout,non_iced,1
2010,reg,3563,2010112805,ATL,GB,ATL,home,GB,GB,2010-11-28,13.0,13.0,Half2,1,4,4.0,00:13,GB 29,3,"(:13) M.Bryant 47 yard field goal is GOOD, Center-J.Zelenka, Holder-M.Koenen.",field_goal,made,47.0,1,0,0.0,,1.0,0.0,17.0,17.0,0.0,0.03909837150389647,1.0,M.Bryant,00-0020578,iced,iced,0
2010,reg,3953,2010120501,MIA,CLE,CLE,away,MIA,MIA,2010-12-05,4.0,4.0,Half2,1,4,4.0,00:04,MIA 6,6,"(:04) (Field Goal formation) P.Dawson 23 yard field goal is GOOD, Center-R.Pontbriand, Holder-R.Hodges.",field_goal,made,23.0,0,2,0.0,,2.0,0.0,10.0,10.0,0.0,0.0,1.0,P.Dawson,00-0004091,off_timeout,non_iced,0
2010,reg,4371,2010120510,IND,DAL,DAL,away,IND,IND,2010-12-05,481.0,481.0,Overtime,1,5,3.0,08:01,IND 20,6,"(8:01) D.Buehler 38 yard field goal is GOOD, Center-L.Ladouceur, Holder-M.McBriar.",field_goal,made,38.0,1,2,0.0,,2.0,1.0,33.0,34.0,-1.0,0.02792869808037529,1.0,D.Buehler,00-0027119,iced,iced,1
2010,reg,3891,2010121908,TB,DET,DET,away,TB,TB,2010-12-19,2.0,2.0,Half2,1,4,3.0,00:02,TB 10,10,"(:02) (Field Goal formation) D.Rayner 28 yard field goal is GOOD, Center-D.Muhlbach, Holder-N.Harris.",field_goal,made,28.0,2,0,0.0,,0.0,2.0,17.0,20.0,-3.0,0.0,1.0,D.Rayner,00-0023635,no_timeout,non_iced,0
2010,reg,4154,2010121908,TB,DET,DET,away,TB,TB,2010-12-19,595.0,595.0,Overtime,1,5,4.0,09:55,TB 16,1,"(9:55) (Field Goal formation) D.Rayner 34 yard field goal is GOOD, Center-D.Muhlbach, Holder-N.Harris.",field_goal,made,34.0,1,1,0.0,,1.0,1.0,20.0,20.0,0.0,0.015981026418112172,1.0,D.Rayner,00-0023635,off_timeout,non_iced,1
2010,reg,4314,2010121905,DAL,WAS,DAL,home,WAS,WAS,2010-12-19,55.0,55.0,Half2,1,4,4.0,00:55,WAS 21,1,"(:55) (Field Goal formation) D.Buehler 39 yard field goal is GOOD, Center-L.Ladouceur, Holder-M.McBriar.",field_goal,made,39.0,1,0,0.0,,1.0,0.0,30.0,30.0,0.0,0.02112567974688832,1.0,D.Buehler,00-0027119,off_timeout,non_iced,0
